Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
tex\prefabs\cars\chevnova\chv_sm_a.dtx;0;DTX_VERSION_LT2;32;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_sm_ab.dtx;0;DTX_VERSION_LT2;32;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_stbk_a.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;80;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_stfr_a.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;80;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_stsdbk_a.dtx;0;DTX_VERSION_LT2;128;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;80;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_stsd_a.dtx;0;DTX_VERSION_LT2;128;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;80;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_trnk1_a.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_trnk1_ab.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\truck\truck_bar.dtx;0;DTX_VERSION_LT2;16;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\truck\truck_bed1.dtx;0;DTX_VERSION_LT2;512;512;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
